episode_id,turn_idx,implicature_load,duration_sec,new_assumption_count,gap_to_next_sec,next_response_type
46407,11,51.336299999999994,513.3629999999999,10.0,1.620999999999981,Silence/Abandonment
70924,12,51.25819999999999,256.29099999999994,5.0,0.7599999999999909,Substantive
84824,1,51.195699999999995,511.95699999999994,10.0,,Silence/Abandonment
46407,57,51.08409999999999,510.8409999999999,10.0,0.4600000000000364,Substantive
81197,3,51.019200000000005,510.19200000000006,10.0,1.12399999999991,Clarification
87970,1,50.6754,506.754,10.0,0.4599999999999227,Clarification
76131,18,49.74000000000001,497.4000000000001,10.0,,Silence/Abandonment
47243,1,49.21,246.05,5.0,1.1599999999999682,Substantive
72447,23,49.19200000000001,245.96000000000004,5.0,2.0540000000000873,Substantive
77399,0,49.03,147.09,3.0,1.281000000000006,Substantive
71083,3,48.9178,489.178,10.0,1.1399999999999864,Clarification
50774,2,48.7847,487.847,10.0,,Silence/Abandonment
80082,1,48.7042,487.042,10.0,1.4470000000000027,Substantive
51505,7,48.68000000000001,194.72000000000003,4.0,0.47899999999992815,Silence/Abandonment
89132,1,48.656800000000004,486.56800000000004,10.0,1.5809999999999604,Substantive
95966,3,48.614666666666665,145.844,3.0,0.5209999999999582,Clarification
91928,0,48.587777777777774,437.28999999999996,9.0,0.7210000000000036,Substantive
51130,0,48.3318,241.65900000000002,5.0,1.2399999999999807,Substantive
46767,11,48.308500000000016,483.08500000000015,10.0,0.2199999999997999,Substantive
45353,21,48.22199999999998,241.1099999999999,5.0,1.094000000000051,Substantive
72860,1,48.1681,481.68100000000004,10.0,0.7809999999999491,Substantive
94191,0,48.0641,480.641,10.0,0.01999999999998181,Clarification
96764,1,48.0228,480.22799999999995,10.0,0.8530000000000655,Substantive
88432,13,47.90219999999999,479.02199999999993,10.0,3.8890000000001237,Substantive
51849,1,47.8601,478.601,10.0,0.7800000000000296,Substantive
86991,10,47.63699999999999,190.54799999999997,4.0,0.22000000000002728,Substantive
47197,0,47.6234,476.234,10.0,1.1610000000000014,Substantive
48746,5,47.5288,475.28799999999995,10.0,0.2300000000000182,Clarification
75670,23,47.48933333333332,142.46799999999996,3.0,0.43000000000006366,Substantive
83475,13,46.850199999999994,468.50199999999995,10.0,0.68100000000004,Clarification
89113,30,46.822199999999995,468.222,10.0,,Silence/Abandonment
71519,18,46.73389999999999,467.33899999999994,10.0,,Silence/Abandonment
77043,7,46.67975000000001,186.71900000000005,4.0,2.201000000000022,Clarification
88953,16,46.64960000000001,466.4960000000001,10.0,,Silence/Abandonment
70889,3,46.62650000000001,466.2650000000001,10.0,0.2999999999999545,Clarification
70883,0,46.3296,463.296,10.0,2.863999999999976,Substantive
49230,5,46.32866666666666,138.986,3.0,1.6210000000000377,Clarification
75584,14,46.071100000000015,460.7110000000001,10.0,0.5599999999999454,Clarification
92617,17,45.89666666666668,137.69000000000005,3.0,0.16599999999993997,Substantive
92357,6,45.6342,456.342,10.0,0.13999999999998636,Clarification
81197,5,45.57190000000001,455.71900000000005,10.0,0.54099999999994,Clarification
72687,13,45.47280000000001,227.36400000000003,5.0,0.5699999999999363,Clarification
83774,0,45.2978,226.489,5.0,1.4809999999999945,Substantive
84070,0,45.2488,452.488,10.0,1.3410000000000082,Backchannel
77457,15,45.23009999999999,452.30099999999993,10.0,3.5419999999999163,Clarification
84238,7,45.2078,452.078,10.0,0.11999999999989086,Clarification
84108,6,45.16979999999999,225.84899999999993,5.0,0.6200000000001182,Substantive
90854,25,44.8861,448.861,10.0,0.7390000000000327,Substantive
97205,1,44.4734,444.734,10.0,,Silence/Abandonment
75111,30,44.37519999999999,443.75199999999995,10.0,0.7200000000002547,Substantive
51190,33,44.161249999999995,176.64499999999998,4.0,0.5940000000000509,Substantive
94147,32,43.87769999999999,438.77699999999993,10.0,,Silence/Abandonment
77759,3,43.8495,438.495,10.0,0.20000000000004547,Clarification
72830,3,43.792,175.168,4.0,0.367999999999995,Clarification
80189,0,43.700500000000005,437.00500000000005,10.0,0.700999999999965,Backchannel
51087,34,43.683333333333394,131.05000000000018,3.0,1.0030000000001564,Substantive
76927,12,43.4917,434.91700000000003,10.0,1.0049999999998818,Substantive
51917,0,43.3988,433.988,10.0,0.8790000000000191,Substantive
86462,21,43.125249999999994,172.50099999999998,4.0,1.91800000000012,Substantive
49868,29,42.967500000000015,429.6750000000002,10.0,2.0299999999997453,Substantive
45358,13,42.88680000000001,428.86800000000005,10.0,1.6600000000000819,Substantive
77433,0,42.8176,428.176,10.0,1.7420000000000186,Substantive
70913,16,42.150300000000016,421.50300000000016,10.0,1.806999999999789,Substantive
75306,10,42.143100000000004,421.43100000000004,10.0,0.33999999999991815,Substantive
46767,7,41.8722,418.722,10.0,1.2440000000000282,Clarification
91922,11,41.8597,418.597,10.0,0.5900000000000318,Clarification
65214,26,41.82685714285714,292.788,7.0,1.0409999999997126,Substantive
46004,9,41.7925,417.92499999999995,10.0,0.3530000000000655,Clarification
49867,5,41.75874999999999,167.03499999999997,4.0,0.44000000000005457,Clarification
47150,5,41.7158,208.579,5.0,1.3199999999999932,Substantive
91926,11,41.5654,415.654,10.0,0.6000000000001364,Clarification
91927,11,41.5654,415.654,10.0,0.6000000000001364,Substantive
79400,11,41.476800000000004,414.76800000000003,10.0,0.8399999999999181,Substantive
90860,9,41.431799999999996,414.318,10.0,0.36800000000005184,Substantive
86296,1,41.4268,414.26800000000003,10.0,2.4610000000000127,Clarification
93254,9,41.37060000000001,413.70600000000013,10.0,0.5599999999999454,Clarification
