category,episode,speaker_id,offset,granger_p_value
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_01,5,0.7787822188941544
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_00,-1,0.062087838478028214
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_01,-1,0.47446206919658385
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_00,1,0.7239284065577731
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_01,1,0.5525946790891154
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_00,-3,0.06943579198353293
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_01,-3,0.7150852024594061
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_00,3,0.5249883123182298
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_01,3,0.4221486799438808
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_00,-5,0.5680336172045778
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_01,-5,0.7193659673939221
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_00,5,0.9341677542551367
business,business/007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,SPEAKER_01,5,0.762708406099565
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_00,-1,0.5766372579654088
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_01,-1,0.8348159719411561
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_00,1,0.4377505378846616
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_01,1,0.6448067695289539
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_00,-3,0.17127356721630732
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_01,-3,0.634558986929666
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_00,3,0.5966951263092193
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_01,3,0.6572799553238455
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_00,-5,0.8725447345258501
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_01,-5,0.5737698697684274
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_00,5,0.9625449210888415
business,business/007__Wartime_Vs_Peacetime_CEO,SPEAKER_01,5,0.3870762285862427
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_00,-1,0.5848811773347979
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_01,-1,0.17656290252359794
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_00,1,0.15899636238738288
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_01,1,0.4252907912566555
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_00,-3,0.47853831120306456
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_01,-3,0.46466593229438147
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_00,3,0.15109080520889376
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_01,3,0.025457672988104436
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_00,-5,0.6075104536466827
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_01,-5,0.6821853477262687
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_00,5,0.30920300501982617
business,business/008_-_The_Best_Brands_in_2020_and_Email_Hacks,SPEAKER_01,5,0.0031218655698432773
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_00,-1,0.0011509438175632016
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_02,-1,0.05634200789351249
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_00,1,0.1605829966569096
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_02,1,0.34510336343001435
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_00,-3,0.013816792595478753
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_02,-3,0.6368022922777111
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_00,3,0.9716085444600326
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_02,3,0.40766753627250707
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_00,-5,0.6172340213966556
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_02,-5,0.6128650460755194
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_00,5,0.8491241066509703
business,business/008__Facing_the_Reality_of_Food_Insecurity,SPEAKER_02,5,0.481310783292846
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_00,-1,0.32017772629104463
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_01,-1,0.7764243463534815
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_00,1,0.9423882310340896
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_01,1,0.027875072852672697
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_00,-3,0.48902941468897654
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_01,-3,0.26054817355477516
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_00,3,0.841133692143686
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_01,3,0.15238580532237228
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_00,-5,0.8675394326226494
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_01,-5,0.34546064366757034
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_00,5,0.01840941291366198
business,business/008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,SPEAKER_01,5,0.5569680520033493
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_00,-1,0.7336112670654266
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_01,-1,0.39045412814275243
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_00,1,0.9958806971639964
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_01,1,0.570691969288587
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_00,-3,0.9062697366471415
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_01,-3,0.10495242117109375
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_00,3,0.9045478520724979
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_01,3,0.37646829526242215
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_00,-5,0.31748255476493004
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_01,-5,0.7911044246052872
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_00,5,0.13998483159809202
business,business/009__Saying_HECK_YES__w__Fiona_Crystal,SPEAKER_01,5,0.5032578797925359
business,business/01._Waiting_For_Permission,SPEAKER_00,-1,0.587316911270807
business,business/01._Waiting_For_Permission,SPEAKER_01,-1,0.11986938620580455
business,business/01._Waiting_For_Permission,SPEAKER_00,1,0.1254762360323388
business,business/01._Waiting_For_Permission,SPEAKER_01,1,0.360011072483532
business,business/01._Waiting_For_Permission,SPEAKER_00,-3,0.7819913337477644
business,business/01._Waiting_For_Permission,SPEAKER_01,-3,0.3743689712346036
business,business/01._Waiting_For_Permission,SPEAKER_00,3,0.39558976424985015
business,business/01._Waiting_For_Permission,SPEAKER_01,3,0.3503682611336844
business,business/01._Waiting_For_Permission,SPEAKER_00,-5,0.24509918513794585
business,business/01._Waiting_For_Permission,SPEAKER_01,-5,0.5489361794620847
business,business/01._Waiting_For_Permission,SPEAKER_00,5,0.29494640993255306
business,business/01._Waiting_For_Permission,SPEAKER_01,5,0.8803575483002922
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_00,-1,0.46664209508363563
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_01,-1,0.6518506714778987
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_00,1,0.5355000242759207
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_01,1,0.34637833873996576
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_00,-3,0.08232711862742662
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_01,-3,0.5128464633459905
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_00,3,0.0001224734562443366
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_01,3,0.9544024504272053
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_00,-5,0.4500128273568792
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_01,-5,0.28961715282519296
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_00,5,0.6942638160664301
business,business/01._What_are_Thrive_Co-living_Communities,SPEAKER_01,5,0.3406357824875017
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_00,-1,0.16064140791133724
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_01,-1,0.41398456395789757
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_00,1,0.653786886781089
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_01,1,0.02057669466285865
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_00,-3,0.5217080040377022
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_01,-3,0.40511891870859296
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_00,3,0.6569601294694103
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_01,3,0.4431362276098691
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_00,-5,0.8376527506084622
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_01,-5,0.47534133926944144
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_00,5,0.13505615056253104
business,business/010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,SPEAKER_01,5,0.46914868858516273
business,business/010___Design_ft._Laura_Jones,SPEAKER_00,-1,0.19129932370069508
business,business/010___Design_ft._Laura_Jones,SPEAKER_01,-1,0.8292682960518536
business,business/010___Design_ft._Laura_Jones,SPEAKER_00,1,0.5753940117680638
business,business/010___Design_ft._Laura_Jones,SPEAKER_01,1,0.7270834811602425
