prompt,turn_num,num_statements,visibility
prompt3,13,8,explicit
prompt3,14,4,explicit
prompt3,1,10,explicit
prompt3,2,9,explicit
prompt3,3,10,explicit
prompt3,4,7,explicit
prompt3,5,4,explicit
prompt3,6,8,explicit
prompt3,7,10,explicit
prompt3,8,5,explicit
prompt3,9,10,explicit
prompt3,10,4,explicit
prompt3,11,10,explicit
prompt3,12,4,explicit
prompt3,13,8,explicit
prompt3,14,6,explicit
prompt3,15,4,explicit
prompt3,16,8,explicit
prompt3,17,4,explicit
prompt3,18,10,explicit
prompt3,19,10,explicit
prompt3,20,5,explicit
prompt3,21,5,explicit
prompt3,22,7,explicit
prompt3,23,5,explicit
prompt3,24,10,explicit
prompt3,25,5,explicit
prompt3,26,10,explicit
prompt3,27,6,explicit
prompt3,28,10,explicit
prompt3,29,6,explicit
prompt3,30,5,explicit
prompt3,31,6,explicit
prompt3,32,6,explicit
prompt3,33,10,explicit
prompt3,34,3,explicit
prompt3,35,10,explicit
prompt3,36,8,explicit
prompt3,37,8,explicit
prompt3,38,10,explicit
prompt3,39,6,explicit
prompt3,40,10,explicit
prompt3,41,5,explicit
prompt3,42,8,explicit
prompt3,43,4,explicit
prompt3,44,10,explicit
prompt3,45,8,explicit
prompt3,46,10,explicit
prompt3,47,5,explicit
prompt3,48,10,explicit
prompt3,49,4,explicit
prompt3,50,0,explicit
prompt3,51,4,explicit
prompt3,52,10,explicit
prompt3,53,4,explicit
prompt3,54,5,explicit
prompt3,55,3,explicit
prompt3,56,10,explicit
prompt3,57,4,explicit
prompt3,58,10,explicit
prompt3,59,10,explicit
prompt3,60,10,explicit
prompt3,61,8,explicit
prompt3,62,8,explicit
prompt3,63,4,explicit
prompt3,64,5,explicit
prompt3,65,5,explicit
prompt3,66,8,explicit
prompt3,67,7,explicit
prompt3,68,8,explicit
prompt3,1,10,explicit
prompt3,2,6,explicit
prompt3,3,8,explicit
prompt3,4,4,explicit
prompt3,5,8,explicit
prompt3,6,4,explicit
prompt3,7,5,explicit
prompt3,8,4,explicit
prompt3,9,6,explicit
prompt3,10,5,explicit
prompt3,11,5,explicit
prompt3,12,5,explicit
prompt3,13,5,explicit
prompt3,14,4,explicit
prompt3,15,4,explicit
prompt3,16,4,explicit
prompt3,17,6,explicit
prompt3,18,6,explicit
prompt3,19,5,explicit
prompt3,20,5,explicit
prompt3,21,5,explicit
prompt3,1,10,explicit
prompt3,2,5,explicit
prompt3,3,10,explicit
prompt3,4,8,explicit
prompt3,5,4,explicit
prompt3,6,10,explicit
prompt3,7,5,explicit
prompt3,8,10,explicit
prompt3,1,6,explicit
prompt3,2,5,explicit
prompt3,3,8,explicit
prompt3,4,5,explicit
prompt3,5,10,explicit
prompt3,1,8,explicit
prompt3,2,5,explicit
prompt3,3,7,explicit
prompt3,4,5,explicit
prompt3,5,5,explicit
prompt3,6,5,explicit
prompt3,7,3,explicit
prompt3,8,4,explicit
prompt3,9,6,explicit
prompt3,10,5,explicit
prompt3,11,10,explicit
prompt3,12,10,explicit
prompt3,13,5,explicit
prompt3,14,4,explicit
prompt3,15,8,explicit
prompt3,16,5,explicit
prompt3,17,6,explicit
prompt3,18,5,explicit
prompt3,19,4,explicit
prompt3,20,7,explicit
prompt3,21,4,explicit
prompt3,22,4,explicit
prompt3,23,0,explicit
prompt3,24,5,explicit
prompt3,25,5,explicit
prompt3,26,4,explicit
prompt3,27,7,explicit
prompt3,28,10,explicit
prompt3,29,6,explicit
prompt3,30,5,explicit
prompt3,31,3,explicit
prompt3,32,6,explicit
prompt3,33,6,explicit
prompt3,34,8,explicit
prompt3,35,4,explicit
prompt3,36,5,explicit
prompt3,37,5,explicit
prompt3,38,8,explicit
prompt3,39,3,explicit
prompt3,40,6,explicit
prompt3,41,5,explicit
prompt3,42,7,explicit
prompt3,1,6,explicit
prompt3,2,7,explicit
prompt3,3,10,explicit
prompt3,4,10,explicit
prompt3,5,5,explicit
prompt3,6,5,explicit
prompt3,7,5,explicit
prompt3,8,5,explicit
prompt3,9,8,explicit
prompt3,10,5,explicit
prompt3,11,7,explicit
prompt3,12,3,explicit
prompt3,13,6,explicit
prompt3,14,4,explicit
prompt3,15,10,explicit
prompt3,16,5,explicit
prompt3,17,9,explicit
prompt3,1,4,explicit
prompt3,2,6,explicit
prompt3,3,10,explicit
