analysis_subset,condition,base_condition,representation_budget,future_horizon,category,pair_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci_unstable,cluster_count,mean_order_consistency_rate,mean_order_consistency_rate_ci95_low,mean_order_consistency_rate_ci95_high,mean_order_consistency_rate_ci_unstable
assumption_eligible,raw_history_b256,raw_history,256,3,business,4,0.5572916666666667,,,True,1,0.11458333333333334,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,business,4,0.5416666666666667,,,True,1,0.08333333333333333,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,business,4,0.515625,,,True,1,0.03125,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,3,business,4,0.5416666666666666,,,True,1,0.08333333333333333,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,business,11,0.6079545454545454,,,True,4,0.2159090909090909,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,business,3,0.5416666666666666,,,True,1,0.08333333333333333,,,True
assumption_eligible,raw_history_b256,raw_history,256,5,business,1,0.5625,,,True,1,0.125,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,business,1,0.5,,,True,1,0.0,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,business,1,0.5,,,True,1,0.0,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,business,1,0.5208333333333334,,,True,1,0.041666666666666664,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,5,business,1,0.5,,,True,1,0.0,,,True
assumption_eligible,raw_history_b256,raw_history,256,1,commentary,79,0.5253164556962026,,,True,5,0.07383966244725738,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,commentary,79,0.5232067510548523,,,True,5,0.0590717299578059,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,commentary,79,0.5113396624472574,,,True,5,0.034282700421940926,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,1,commentary,79,0.5229430379746834,,,True,5,0.055379746835443035,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,commentary,71,0.5190727699530516,,,True,4,0.03814553990610329,,,True
assumption_eligible,raw_history_b256,raw_history,256,3,commentary,24,0.5017361111111112,,,True,4,0.003472222222222222,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,commentary,24,0.5034722222222222,,,True,4,0.006944444444444444,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,commentary,24,0.5008680555555556,,,True,4,0.001736111111111111,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,commentary,24,0.5017361111111112,,,True,4,0.003472222222222222,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,3,commentary,24,0.5043402777777778,,,True,4,0.008680555555555554,,,True
assumption_eligible,raw_history_b256,raw_history,256,5,commentary,9,0.49768518518518523,,,True,2,0.004629629629629629,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,commentary,9,0.5,,,True,2,0.0,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,commentary,9,0.5,,,True,2,0.0,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,commentary,9,0.5,,,True,2,0.0,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,5,commentary,9,0.49768518518518523,,,True,2,0.004629629629629629,,,True
assumption_eligible,raw_history_b256,raw_history,256,1,news,37,0.5906531531531531,,,True,4,0.1948198198198198,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,news,37,0.5917792792792792,,,True,4,0.18806306306306309,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,news,37,0.5619369369369368,,,True,4,0.13513513513513517,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,1,news,37,0.5855855855855855,,,True,4,0.17567567567567569,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,news,27,0.5825617283950617,,,True,3,0.1712962962962963,,,True
assumption_eligible,raw_history_b256,raw_history,256,3,news,16,0.5260416666666667,,,True,2,0.05208333333333333,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,news,16,0.5260416666666667,,,True,2,0.05208333333333333,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,news,16,0.515625,,,True,2,0.031249999999999997,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,3,news,16,0.5221354166666666,,,True,2,0.04427083333333333,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,news,13,0.5144230769230769,,,True,2,0.028846153846153848,,,True
assumption_eligible,raw_history_b256,raw_history,256,5,news,5,0.5083333333333334,,,True,2,0.06666666666666668,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,news,5,0.5333333333333334,,,True,2,0.06666666666666667,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,news,5,0.5125,,,True,2,0.041666666666666664,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,news,5,0.5208333333333334,,,True,2,0.041666666666666664,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,5,news,5,0.5333333333333334,,,True,2,0.08333333333333334,,,True
assumption_eligible,raw_history_b256,raw_history,256,1,political,8,0.546875,,,True,2,0.09375,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,political,8,0.5494791666666667,,,True,2,0.09895833333333334,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,political,8,0.5390625,,,True,2,0.078125,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,1,political,8,0.5390625,,,True,2,0.078125,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,political,4,0.5833333333333334,,,True,1,0.16666666666666669,,,True
assumption_eligible,raw_history_b256,raw_history,256,1,religion,21,0.5357142857142858,,,True,5,0.07142857142857144,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,religion,21,0.5257936507936508,,,True,5,0.051587301587301584,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,religion,21,0.5178571428571429,,,True,5,0.03571428571428571,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,1,religion,21,0.5287698412698413,,,True,5,0.057539682539682536,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,religion,11,0.5340909090909091,,,True,4,0.06818181818181818,,,True
assumption_eligible,raw_history_b256,raw_history,256,3,religion,5,0.5041666666666667,,,True,2,0.008333333333333333,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,religion,5,0.5,,,True,2,0.0,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,religion,5,0.5,,,True,2,0.0,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,religion,3,0.5,,,True,2,0.0,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,3,religion,5,0.5,,,True,2,0.0,,,True
assumption_eligible,raw_history_b256,raw_history,256,1,sports,51,0.5812908496732025,,,True,3,0.1625816993464052,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,sports,50,0.5758333333333333,,,True,3,0.15333333333333335,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,sports,50,0.5533333333333333,,,True,3,0.11166666666666666,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,sports,42,0.5634920634920635,,,True,3,0.1388888888888889,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,1,sports,50,0.5754166666666667,,,True,3,0.1525,,,True
assumption_eligible,raw_history_b256,raw_history,256,3,sports,39,0.532051282051282,,,True,3,0.07051282051282051,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,sports,38,0.524671052631579,,,True,3,0.0493421052631579,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,sports,38,0.511513157894737,,,True,3,0.02521929824561403,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,sports,32,0.5201822916666667,,,True,3,0.045572916666666664,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,3,sports,38,0.5246710526315789,,,True,3,0.05811403508771929,,,True
assumption_eligible,raw_history_b256,raw_history,256,5,sports,31,0.5241935483870968,,,True,3,0.051075268817204304,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,sports,30,0.5222222222222223,,,True,3,0.044444444444444446,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,sports,30,0.5152777777777778,,,True,3,0.03055555555555555,,,True
assumption_eligible,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,sports,26,0.5136217948717948,,,True,3,0.02724358974358974,,,True
