analysis_subset,future_horizon,target_condition,baseline_condition,target_base_condition,baseline_base_condition,representation_budget,metric,paired_sample_size,mean_improvement,ci95_low,ci95_high,ci_unstable,cluster_count,wins,ties,losses
full,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,75,0.004722222222222222,,,True,12,19,47,9
assumption_eligible,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,75,0.004722222222222222,,,True,12,19,47,9
sparse_explicit,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,6,0.0034722222222222285,,,True,5,1,5,0
dense_explicit,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,69,0.004830917874396135,,,True,12,18,42,9
complete_case,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,75,0.004722222222222222,,,True,12,19,47,9
full,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,41,0.0035569105691056918,,,True,8,11,22,8
assumption_eligible,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,41,0.0035569105691056918,,,True,8,11,22,8
sparse_explicit,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,4,0.015625,,,True,4,2,1,1
dense_explicit,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,37,0.002252252252252253,,,True,7,9,21,7
complete_case,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,41,0.0035569105691056918,,,True,8,11,22,8
