model_number,model_name,short_label,term,coefficient,clustered_se,z_or_t,p_value,ci95_low,ci95_high
7,spec_07_add_response_timing,+ Gap/overlap,current_stance,0.04019945687841007,0.002731665823844419,14.716096137204376,5.081609896133474e-49,0.03484549024587607,0.04555342351094407
7,spec_07_add_response_timing,+ Gap/overlap,log_gap,-0.05595466714615625,0.003063618033217686,-18.264243955826192,1.5940548761512522e-74,-0.06195924815365035,-0.049950086138662156
7,spec_07_add_response_timing,+ Gap/overlap,overlap,-0.12703276608247444,0.02434615448842389,-5.217775404443276,1.8108485314021032e-07,-0.17475035204183345,-0.07931518012311542
8,spec_08_add_previous_duration,+ Previous duration,Intercept,1.2897051307660197,0.012074392483089572,106.81325230832752,0.0,1.266039756363963,1.3133705051680764
8,spec_08_add_previous_duration,+ Previous duration,current_stance,0.031935255328906606,0.002716966205594685,11.754012715780789,6.734326786045082e-32,0.026610099418728578,0.037260411239084634
8,spec_08_add_previous_duration,+ Previous duration,previous_log_duration,0.08770924686291211,0.0031132728252717414,28.172682506633972,1.2641326536812576e-174,0.08160734425133223,0.09381114947449198
9,spec_09_exp2_baseline,Exp2 controls,Intercept,1.002570035930342,0.018547885625162408,54.05306330821001,0.0,0.9662168481156554,1.0389232237450285
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.commentary],0.05959605562717788,0.015535577584662468,3.8361017028432993,0.0001250026596862727,0.02914688308221168,0.09004522817214408
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.news],0.04083604006414745,0.04990964519486085,0.8181993661688521,0.4132433570278501,-0.05698506699895239,0.13865714712724728
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.political],0.42541315310850586,0.013197073687510993,32.23541545510155,5.632646005600955e-228,0.3995473639796631,0.4512789422373486
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.religion],-0.08148854174247258,0.011881723372224961,-6.858309959728772,6.967994537102585e-12,-0.10477629162630131,-0.05820079185864386
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.sports],0.11374745813487525,0.02224177871989726,5.114134960488478,3.151819594764735e-07,0.07015437289176724,0.15734054337798326
9,spec_09_exp2_baseline,Exp2 controls,current_stance,0.029444278579105355,0.0025717797804181747,11.448989063253961,2.3790376488482168e-30,0.024403682833317404,0.034484874324893305
9,spec_09_exp2_baseline,Exp2 controls,previous_stance,0.04991806378067814,0.0025528619371714173,19.553765542051828,3.8316737345723145e-85,0.044914546326319006,0.05492158123503727
9,spec_09_exp2_baseline,Exp2 controls,previous_log_iceberg_ratio,0.18756683867555068,0.022782747809771912,8.232845319698445,1.8281819713944704e-16,0.14291347349953892,0.23222020385156245
9,spec_09_exp2_baseline,Exp2 controls,timeline_position,1.1275178727640938,0.05628206063240858,20.033343841622628,2.82067087896828e-89,1.0172070609488733,1.2378286845793143
9,spec_09_exp2_baseline,Exp2 controls,I(timeline_position ** 2),-0.8425898697722422,0.0518894967327697,-16.238158448742915,2.709361758327931e-59,-0.9442914145443796,-0.7408883250001047
10,spec_10_full_timing,Full timing,Intercept,1.0026701409966448,0.021056056333270547,47.619085223111405,0.0,0.961401028926988,1.0439392530663016
10,spec_10_full_timing,Full timing,C(category)[T.commentary],0.06620134379355631,0.015390785513199213,4.301362249300513,1.697512878099881e-05,0.03603595849390505,0.09636672909320758
10,spec_10_full_timing,Full timing,C(category)[T.news],0.03932752555120297,0.04843060896970903,0.8120386339928206,0.41676946341154797,-0.05559472377876922,0.13424977488117515
10,spec_10_full_timing,Full timing,C(category)[T.political],0.3856226975839067,0.013362563618629442,28.858436793243037,3.970905014771628e-183,0.3594325541502678,0.4118128410175456
10,spec_10_full_timing,Full timing,C(category)[T.religion],-0.0778868666581872,0.011877134509449511,-6.557715297087862,5.463839469256724e-11,-0.10116562253624604,-0.05460811078012835
10,spec_10_full_timing,Full timing,C(category)[T.sports],0.11302839680503368,0.021953964362655135,5.148427634204464,2.6267908904729774e-07,0.06999941733635379,0.15605737627371358
10,spec_10_full_timing,Full timing,current_stance,0.031189086229520085,0.0026764996161304654,11.652938801691866,2.216797097809336e-31,0.025943243377269092,0.036434929081771074
10,spec_10_full_timing,Full timing,previous_stance,0.0460770365202649,0.0025908101864245375,17.78479826955358,9.26963945920984e-71,0.04099914186409331,0.0511549311764365
10,spec_10_full_timing,Full timing,previous_log_iceberg_ratio,-0.08326422989262766,0.029060816484410733,-2.865171731747234,0.004167831474989304,-0.1402223835634006,-0.026306076221854713
10,spec_10_full_timing,Full timing,timeline_position,1.1053014663311016,0.057238630908110065,19.31041062295033,4.3906786073244486e-83,0.9931158112268247,1.2174871214353784
10,spec_10_full_timing,Full timing,I(timeline_position ** 2),-0.8264706741867986,0.0527250515740889,-15.675104139546404,2.2385780909719155e-55,-0.9298098763550298,-0.7231314720185675
10,spec_10_full_timing,Full timing,log_duration,0.004887190663485595,0.0031359637567107334,1.5584334012239025,0.11913054393147465,-0.0012591853564903705,0.01103356668346156
10,spec_10_full_timing,Full timing,log_gap,-0.03498741595301167,0.0030628974203242825,-11.42297999301178,3.210337847480308e-30,-0.0409905845851879,-0.028984247320835436
10,spec_10_full_timing,Full timing,overlap,-0.025593314779758108,0.023891717690124128,-1.07122121195737,0.28406997606404305,-0.07242022098119989,0.021233591421683674
10,spec_10_full_timing,Full timing,previous_log_duration,0.06209572562498685,0.003928083579369212,15.808147757120391,2.733870131322638e-56,0.054396823281160016,0.0697946279688137
11,spec_11_drop_lagged_stance,− Lagged stance,Intercept,0.9993533934978884,0.0211084251196579,47.34381593287168,0.0,0.9579816404929984,1.0407251465027785
11,spec_11_drop_lagged_stance,− Lagged stance,C(category)[T.commentary],0.05847012957213993,0.015345733566476567,3.81018797953527,0.00013886116740857328,0.028393044465498462,0.08854721467878139
11,spec_11_drop_lagged_stance,− Lagged stance,C(category)[T.news],0.025044602817352695,0.049233717836646956,0.5086880275921561,0.6109709156618273,-0.0714517109674826,0.12154091660218799
11,spec_11_drop_lagged_stance,− Lagged stance,C(category)[T.political],0.37523551689214324,0.013311568509928467,28.188677886627175,8.049777587243528e-175,0.3491453220349459,0.40132571174934056
11,spec_11_drop_lagged_stance,− Lagged stance,C(category)[T.religion],-0.06974610039617926,0.011752022273245687,-5.934816899978245,2.941736107429972e-09,-0.09277964079725334,-0.04671255999510518
11,spec_11_drop_lagged_stance,− Lagged stance,C(category)[T.sports],0.10305034417901243,0.021749038294974023,4.738156362657484,2.1567137502270118e-06,0.06042301242248092,0.14567767593554393
11,spec_11_drop_lagged_stance,− Lagged stance,current_stance,0.038324427700019766,0.002873738764810486,13.336086136050415,1.427602263934496e-40,0.032692003220014594,0.04395685218002494
11,spec_11_drop_lagged_stance,− Lagged stance,previous_log_iceberg_ratio,-0.03655800679282043,0.029039450994862378,-1.2589083312659122,0.20806344425148693,-0.09347428487356654,0.020358271287925674
11,spec_11_drop_lagged_stance,− Lagged stance,timeline_position,1.203970719729638,0.05738437747001885,20.98080998366963,9.820644991111447e-98,1.0914994066131494,1.3164420328461268
11,spec_11_drop_lagged_stance,− Lagged stance,I(timeline_position ** 2),-0.900855428938212,0.052978672736581224,-17.004114720227424,7.655286829480844e-65,-1.0046917194506453,-0.7970191384257788
11,spec_11_drop_lagged_stance,− Lagged stance,log_duration,-0.0035548409805400572,0.0031240517556292632,-1.1378943943980921,0.2551645822633748,-0.00967786990741254,0.002568187946332425
11,spec_11_drop_lagged_stance,− Lagged stance,log_gap,-0.032719746732986214,0.0030402495529561657,-10.762191117229635,5.192074377807617e-27,-0.0386785263607943,-0.02676096710517813
11,spec_11_drop_lagged_stance,− Lagged stance,overlap,-0.026976083102757568,0.023979401056209215,-1.1249690115079998,0.2606021659779987,-0.07397484554376936,0.02002267933825423
11,spec_11_drop_lagged_stance,− Lagged stance,previous_log_duration,0.07600973853047234,0.0039528164664957635,19.22926074983092,2.1060881832616362e-82,0.06826236061864377,0.08375711644230091
12,spec_12_drop_previous_ratio,− Previous ratio,Intercept,0.9750012102662733,0.018828681808179402,51.782765262022814,0.0,0.9380976720458771,1.0119047484866694
