model_number,model_name,short_label,term,coefficient,clustered_se,z_or_t,p_value,ci95_low,ci95_high
5,spec_05_add_category,+ Category FE,C(category)[T.political],-0.0011173904144877672,0.0014306464357855954,-0.7810388273006019,0.4347796587454077,-0.0039214059032381295,0.001686625074262595
5,spec_05_add_category,+ Category FE,C(category)[T.religion],0.02246716141045574,0.0028262140375368127,7.949561183991924,1.871733230652876e-15,0.016927883684282056,0.028006439136629428
5,spec_05_add_category,+ Category FE,C(category)[T.sports],-0.0007886773074396371,0.0041496748107240095,-0.1900576173828025,0.8492639811083149,-0.008921890484011761,0.007344535869132487
5,spec_05_add_category,+ Category FE,agree_move,0.4295539682731814,0.006332944156410454,67.82847877134208,0.0,0.4171416258105135,0.44196631073584924
5,spec_05_add_category,+ Category FE,disagree_move,-0.5527263756730114,0.006242717854984965,-88.53938116579235,0.0,-0.5649618778344271,-0.5404908735115957
6,spec_06_add_current_duration,+ Current duration,Intercept,-1.027781919593432,0.006844571431658393,-150.16015682729275,0.0,-1.041197033089094,-1.0143668060977697
6,spec_06_add_current_duration,+ Current duration,agree_move,0.1897759591099261,0.005429808709519063,34.95076332564489,1.2607952664467465e-267,0.1791337295963268,0.20041818862352537
6,spec_06_add_current_duration,+ Current duration,disagree_move,-0.3784451917447447,0.005246473623523305,-72.13324966467616,0.0,-0.38872809109268974,-0.3681622923967997
6,spec_06_add_current_duration,+ Current duration,log_duration,0.3303929874610601,0.001930751043191853,171.12148592439215,0.0,0.32660878495329093,0.3341771899688293
7,spec_07_add_response_timing,+ Gap/overlap,Intercept,0.03371994641034601,0.001954256373303188,17.254617598278962,1.033033549185532e-66,0.029889674302113894,0.03755021851857812
7,spec_07_add_response_timing,+ Gap/overlap,agree_move,0.42819226719079534,0.00629991069278619,67.9679900353355,0.0,0.41584466912711565,0.440539865254475
7,spec_07_add_response_timing,+ Gap/overlap,disagree_move,-0.5544841102223766,0.006233888059399994,-88.94675440735219,0.0,-0.5667023063024549,-0.5422659141422984
7,spec_07_add_response_timing,+ Gap/overlap,log_gap,-0.0016700039876064116,0.0008418028739136707,-1.9838421076448776,0.04727344436521799,-0.0033199073025595182,-2.010067265330491e-05
7,spec_07_add_response_timing,+ Gap/overlap,overlap,0.006963329929162602,0.010750885764146196,0.64769825314162,0.517180134308727,-0.01410801897046832,0.028034678828793524
8,spec_08_add_previous_duration,+ Previous duration,Intercept,1.0676821019750802,0.006372404305583899,167.54776545479237,0.0,1.0551924190412079,1.0801717849089525
8,spec_08_add_previous_duration,+ Previous duration,agree_move,0.3603645756318778,0.0050715446515948275,71.05617723755138,0.0,0.3504245307687652,0.3703046204949904
8,spec_08_add_previous_duration,+ Previous duration,disagree_move,-0.33065281931955237,0.005149394124787455,-64.21198519800623,0.0,-0.3407454463463379,-0.32056019229276683
8,spec_08_add_previous_duration,+ Previous duration,previous_log_duration,-0.3289427223870585,0.0017964964297559804,-183.10235241143178,0.0,-0.332463790687735,-0.325421654086382
9,spec_09_exp2_baseline,Exp2 controls,Intercept,1.7001829445603924,0.009531300532189042,178.37890420289932,0.0,1.6815019387914745,1.7188639503293104
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.commentary],-0.07506006576289531,0.007484785120154281,-10.028352792758348,1.144092645459051e-23,-0.089729975030419,-0.06039015649537162
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.news],-0.048995228908297224,0.025060060149289708,-1.9551121831479692,0.050569830578641735,-0.09811204425131251,0.00012158643471805314
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.political],0.0013048843575509995,0.00474974468080768,0.2747272633039946,0.7835257837198739,-0.008004444152592749,0.010614212867694749
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.religion],-0.009244047314802651,0.007022514767631754,-1.3163443040960778,0.1880585069948444,-0.023007923340261555,0.004519828710656253
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.sports],0.003537469491848177,0.0121045934426374,0.29224190871109657,0.7701016709687442,-0.02018709770322083,0.027262036686917186
9,spec_09_exp2_baseline,Exp2 controls,agree_move,0.2488704148911528,0.004226836621194928,58.87864547288725,0.0,0.24058596734507576,0.25715486243722985
9,spec_09_exp2_baseline,Exp2 controls,disagree_move,-0.28291503085010844,0.004725685771613154,-59.86750802382126,0.0,-0.2921772047647236,-0.2736528569354933
9,spec_09_exp2_baseline,Exp2 controls,lag_agree_move,0.048518111699219914,0.00433700252460912,11.187014861973752,4.720596035876346e-29,0.04001774295012675,0.05701848044831308
9,spec_09_exp2_baseline,Exp2 controls,lag_disagree_move,0.1157532443904507,0.0046557550421099944,24.86240004972237,1.899033905824168e-136,0.10662813218707436,0.12487835659382705
9,spec_09_exp2_baseline,Exp2 controls,previous_log_explicit_count,-0.9684554326991797,0.0043038829602104174,-225.01899834465567,0.0,-0.9768908882948677,-0.9600199771034916
9,spec_09_exp2_baseline,Exp2 controls,timeline_position,0.47209802560553277,0.017675446608993076,26.709255842244712,3.6747583225538336e-157,0.4374547868412457,0.5067412643698198
9,spec_09_exp2_baseline,Exp2 controls,I(timeline_position ** 2),-0.40752514030064046,0.015993071890594214,-25.481354869686584,3.1729847577021874e-143,-0.43887098520836504,-0.3761792953929159
10,spec_10_full_timing,Full timing,Intercept,0.7600803323307969,0.005700073284896666,133.34571229895616,0.0,0.7489083939831604,0.7712522706784333
10,spec_10_full_timing,Full timing,C(category)[T.commentary],-0.02143155561773536,0.003776858935066639,-5.674438994464913,1.3914389117169736e-08,-0.028834063105154274,-0.014029048130316446
10,spec_10_full_timing,Full timing,C(category)[T.news],-0.0028912929239283893,0.010559234779532039,-0.2738165202589164,0.7842256273184448,-0.023587012796113922,0.017804426948257145
10,spec_10_full_timing,Full timing,C(category)[T.political],-0.0034401119236966487,0.0021275099702699504,-1.6169662994623466,0.10588555562854038,-0.0076099548421756326,0.0007297309947823351
10,spec_10_full_timing,Full timing,C(category)[T.religion],-0.03350964901069551,0.003563668388765975,-9.40313333202678,5.2961908397500466e-21,-0.0404943107055207,-0.026524987315870316
10,spec_10_full_timing,Full timing,C(category)[T.sports],0.03817844537985363,0.005148523874739591,7.415415817953194,1.2124379755129597e-13,0.028087524011819427,0.04826936674788784
10,spec_10_full_timing,Full timing,agree_move,0.02935644974185659,0.002566064704915171,11.440260912215406,2.6309313001594155e-30,0.024327055338223453,0.03438584414548972
10,spec_10_full_timing,Full timing,disagree_move,-0.053522188589375574,0.0026708427695920755,-20.039438187351685,2.4956853875669666e-89,-0.058756944226145254,-0.048287432952605895
10,spec_10_full_timing,Full timing,lag_agree_move,0.01632087843533578,0.00262662290820307,6.213635914148502,5.177241032651574e-10,0.011172792134289905,0.02146896473638165
