implicature_load,p_Backchannel,p_Clarification,p_Silence/Abandonment,p_Substantive
2.3029297567567797,0.31166997777483385,0.19601902983008618,0.22586379024570252,0.26644720214937745
2.404974030888054,0.3094033616336627,0.19744914890629475,0.22683964219351846,0.266307847266524
2.507018305019328,0.3071436444265814,0.198883495330815,0.22781260101427317,0.26616025922833053
2.609062579150602,0.3048909249739062,0.20032201567577362,0.2287825999638482,0.2660044593864719
2.711106853281876,0.30264530095370373,0.2017646561409776,0.22974957269640658,0.26584047020891205
2.8131511274131498,0.30040686888460905,0.20321136256541064,0.23071345327770917,0.2656683152722711
2.915195401544424,0.2981757241090762,0.20466208043880593,0.23167417619826597,0.2654880192538518
3.017239675675698,0.2959519607770665,0.20611675491328835,0.23263167638631527,0.2652996079233299
3.119283949806972,0.293735671830179,0.20757533081508237,0.23358588922062626,0.26510310813411236
3.2213282239382464,0.29152694898623094,0.20903775265627877,0.23453675054312018,0.26489854781437006
3.3233724980695203,0.28932588272429033,0.21050396464665563,0.23548419667130463,0.2646859559577494
3.425416772200794,0.2871325622701674,0.21197391070554747,0.23642816441051645,0.2644653626137687
3.527461046332068,0.2849470755823684,0.21344753447375758,0.23736859106596878,0.26423679887790524
3.629505320463342,0.28276950933851597,0.21492477932550788,0.23830541445459727,0.2640002968813789
3.7315495945946164,0.28059994892224005,0.21640558838042068,0.23923857291670172,0.26375588978063763
3.8335938687258904,0.2784384784105423,0.21788990451552706,0.24016800532737836,0.26350361174655235
3.9356381428571643,0.2762851805616385,0.21937767037729666,0.24109365110773903,0.26324349795332586
4.037682416988439,0.2741401368032795,0.22086882839368288,0.2420154502359133,0.26297558456712433
4.139726691119712,0.2720034272215562,0.2223633207861786,0.24293334325782975,0.2626999087344355
4.2417709652509865,0.26987513055018814,0.22386108958187695,0.2438472712977726,0.26241650857016247
4.343815239382261,0.2677553241602994,0.2253620766255315,0.24475717606871064,0.2621254231454585
4.445859513513534,0.2656440840506829,0.22686622359161127,0.24566299988239493,0.2618266924753108
4.547903787644809,0.26354148483855433,0.2283734719963445,0.24656468565922213,0.2615203575058791
4.649948061776083,0.26144759975079673,0.22988376320974607,0.2474621769378601,0.26120646010159704
4.751992335907357,0.2593625006156973,0.23139703846762447,0.24835541788463428,0.2608850430320439
4.854036610038631,0.25728625785517545,0.23291323888356144,0.2492443533026702,0.26055614995859294
4.956080884169904,0.2552189404775034,0.23443230546086102,0.2501289286407915,0.26021982542084415
5.058125158301179,0.25316061607051904,0.23595417910446131,0.2510090900021699,0.2598761148228496
5.160169432432453,0.2511113507953307,0.2374788006328056,0.2518847841527257,0.259525064419138
5.262213706563727,0.24907120938051155,0.2390061107896666,0.25275595852927596,0.25916672130054585
5.364257980695001,0.24704025511678573,0.2405360502559201,0.25362256124742966,0.2588011333798645
5.4663022548262745,0.24501854985220192,0.2420685596612621,0.2544845411092273,0.25842834937730863
5.568346528957549,0.24300615398779468,0.2436035795958663,0.2553418476105235,0.2580484188058156
5.670390803088823,0.24100312647373093,0.24514105062197564,0.25619443094811145,0.25766139195618204
5.772435077220097,0.23900952480593946,0.24668091328542477,0.25704224202658865,0.2572673198820472
5.874479351351371,0.23702540502322175,0.24822310812708825,0.25788523246496114,0.25686625438472893
5.9765236254826455,0.23505082170484093,0.24976757569425007,0.2587233546029875,0.2564582479979215
6.078567899613919,0.23308582796858582,0.251314256551891,0.25955656150726025,0.2560433539722629
6.180612173745193,0.23113047546930746,0.25286309129388856,0.2603848069770251,0.25562162625977886
6.282656447876468,0.22918481439792482,0.25441402055412626,0.26120804554973703,0.25519311949821194
6.384700722007741,0.22724889348089514,0.25596698501750786,0.2620262325063534,0.25475788899524365
6.486744996139016,0.2253227599801464,0.2575219254308727,0.2628393238763638,0.25431599071261707
6.588789270270289,0.22340645969346673,0.2590787826138083,0.263647276442557,0.25386748125016795
6.690833544401563,0.2215000369553468,0.26063749746935666,0.26445004774552433,0.25341241782977214
6.792877818532838,0.21960353463827134,0.2621980109946105,0.2652475960879014,0.2529508582792168
6.894922092664111,0.21771699415445347,0.2637602642911959,0.26603988053834693,0.2524828610160037
6.996966366795386,0.21584045545800895,0.2653241985756383,0.26682686093526087,0.2520084850310919
7.099010640926659,0.21397395704756333,0.26688975518960784,0.26760849789024177,0.2515277898725871
7.2010549150579335,0.21211753596928787,0.26845687561004156,0.2683847527912844,0.2510408356293861
7.303099189189208,0.21027122782035834,0.2700255014591392,0.26915558780571885,0.2505476829147836
7.405143463320481,0.20843506675283052,0.2715955745142291,0.2699209658828928,0.2500483928500475
7.507187737451756,0.20660908547792758,0.27316703671750187,0.27068085075659726,0.24954302704797318
7.60923201158303,0.20479331527073213,0.2747398301856094,0.2714352069472381,0.24903164759642038
7.711276285714304,0.20298778597527758,0.2763138972191249,0.27218399976375485,0.24851431704184274
7.813320559845578,0.20119252601003187,0.27788918031186405,0.2729271953052882,0.2479910983728159
7.915364833976852,0.19940756237376753,0.27946562216006215,0.2736647604625987,0.24746205500357166
8.017409108108126,0.19763292065181107,0.28104316567140675,0.2743966629192373,0.24692725075754487
8.1194533822394,0.19586862502266497,0.28262175397392275,0.2751228711524718,0.24638674985094053
8.221497656370675,0.19411469826499522,0.284201330424708,0.2758433544339696,0.24584061687632708
8.323541930501948,0.19237116176497826,0.2857818386185177,0.2765580828302402,0.24528891678626388
8.425586204633221,0.19063803552399816,0.287363222396195,0.277267027202839,0.24473171487696782
8.527630478764497,0.1889153381666894,0.288945425852947,0.2779701592083363,0.2441690767720274
8.62967475289577,0.1872030869493155,0.2905283933464636,0.2786674512980519,0.24360106840616896
8.731719027027044,0.18550129776847762,0.2921120695048783,0.2793588767175611,0.2430277560090829
8.833763301158319,0.1838099851701448,0.29369639923456886,0.28004440950597137,0.24244920608931494
8.935807575289592,0.1821291623589984,0.2952813277277971,0.2807240244949757,0.2418654854182288
9.037851849420866,0.1804588412080832,0.2968668004701864,0.28139769730768355,0.24127666101404685
9.139896123552141,0.17879903226875699,0.2984527632480355,0.28206540435723393,0.24068280012597346
9.241940397683415,0.17714974478093168,0.30003916215546805,0.28272712284519247,0.24008397021840777
9.343984671814688,0.17551098668359644,0.3016259436014163,0.28338283075973636,0.23948023895525083
9.446028945945962,0.17388276462561683,0.3032130543164395,0.284032506873631,0.2388716741843126
9.548073220077237,0.17226508397680074,0.3048004413593742,0.28467613074200054,0.23825834392182452
9.65011749420851,0.17065794883922314,0.3063880521238179,0.28531368269989654,0.23764031633706237
9.752161768339784,0.16906136205880246,0.30797583434444464,0.285945143859668,0.23701765973708477
9.85420604247106,0.16747532523711955,0.3095637361031516,0.286570496108137,0.23639044255159186
9.956250316602333,0.16589983874347164,0.3111517058350373,0.28718972210358157,0.23575873331790945
10.058294590733606,0.16433490172715337,0.31273969233421167,0.2878028052725322,0.23512260066610277
10.160338864864881,0.16278051212995603,0.31432764475943525,0.2884097298063838,0.23448211330422486
10.262383138996155,0.1612366666988785,0.31591551263959133,0.2890104806578272,0.23383734000370301
10.364427413127428,0.15970336099903937,0.31750324587898776,0.2896050435371042,0.2331883495848688
10.466471687258704,0.1581805894267846,0.3190907947624906,0.2901934049080905,0.23253521090263443
10.568515961389977,0.15666834522298148,0.32067810996048907,0.290775551984209,0.23187799283232038
10.67056023552125,0.15516662048649071,0.3222651425336923,0.2913514727241795,0.23121676425563759
10.772604509652524,0.1536754061878089,0.3238518439377581,0.29192115582760547,0.23055159404682757
10.8746487837838,0.1521946921828738,0.325438166027755,0.2924845907304062,0.22988255105896485
10.976693057915073,0.1507244672270243,0.327024061062457,0.2930417676000941,0.22920970411042463
11.078737332046346,0.14926471898910595,0.32860948170847276,0.2935926773309037,0.22853312197151768
11.180781606177622,0.14781543406571673,0.3301943810442093,0.2941373115387757,0.2278528733512982
11.282825880308895,0.14637659799558295,0.3317787125636717,0.29467566255620004,0.22716902688454532
11.384870154440168,0.14494819527405856,0.33336243018009853,0.29520772342692153,0.22648165111892138
11.486914428571444,0.14353020936774033,0.33494548822943576,0.2957334879005132,0.2257908145023107
11.588958702702717,0.14212262272919102,0.3365278414736482,0.29625295042682026,0.22509658537034052
