episode_id,category,turn_b_idx,representation,umap_x,umap_y
Unser_Bund_der_Heilung___Our_Covenant_of_Healing,religion,671,Assumption Context,-2.0246028900146484,14.670720100402832
Unser_Bund_der_Heilung___Our_Covenant_of_Healing,religion,695,Claim Only,-2.2089335918426514,9.356050491333008
Unser_Bund_der_Heilung___Our_Covenant_of_Healing,religion,695,Assumption Context,-2.0698587894439697,9.737885475158691
Unser_Bund_der_Heilung___Our_Covenant_of_Healing,religion,715,Claim Only,-2.0324037075042725,13.303261756896973
Unser_Bund_der_Heilung___Our_Covenant_of_Healing,religion,715,Assumption Context,-2.3483219146728516,13.427934646606445
Unser_Bund_der_Heilung___Our_Covenant_of_Healing,religion,748,Claim Only,-0.8963069319725037,14.259401321411133
Unser_Bund_der_Heilung___Our_Covenant_of_Healing,religion,748,Assumption Context,-0.9133793711662292,14.410504341125488
73003,political,1,Claim Only,-2.3639769554138184,11.288492202758789
73003,political,1,Assumption Context,-2.4705920219421387,11.383052825927734
73003,political,8,Claim Only,-1.2601038217544556,8.24523639678955
73003,political,8,Assumption Context,-1.159947395324707,8.324220657348633
73003,political,15,Claim Only,-1.9771767854690552,9.363492965698242
73003,political,15,Assumption Context,-1.9603008031845093,9.239143371582031
73003,political,28,Claim Only,-0.8145549893379211,10.899742126464844
73003,political,28,Assumption Context,-1.0539584159851074,10.758715629577637
73003,political,38,Claim Only,-1.431662678718567,9.290546417236328
73003,political,38,Assumption Context,-1.729356050491333,9.144084930419922
73003,political,49,Claim Only,-0.18280170857906342,9.141303062438965
73003,political,49,Assumption Context,-0.12556485831737518,9.089580535888672
73003,political,57,Claim Only,-1.8118592500686646,8.227232933044434
73003,political,57,Assumption Context,-1.9729740619659424,8.236360549926758
73003,political,64,Claim Only,-1.6193753480911255,9.737167358398438
73003,political,64,Assumption Context,-1.942983627319336,9.703310012817383
73003,political,74,Claim Only,-1.4742130041122437,8.311225891113281
73003,political,74,Assumption Context,-1.444715976715088,8.351507186889648
73003,political,84,Claim Only,-2.0809617042541504,9.200577735900879
73003,political,84,Assumption Context,-2.061389207839966,9.085308074951172
73003,political,91,Claim Only,-1.0089086294174194,9.162576675415039
73003,political,91,Assumption Context,-1.6521764993667603,8.308692932128906
73003,political,98,Claim Only,-2.117332696914673,8.548656463623047
73003,political,98,Assumption Context,-2.1218597888946533,8.573655128479004
73003,political,111,Claim Only,-1.2569738626480103,8.893299102783203
73003,political,111,Assumption Context,-1.2291383743286133,8.93281078338623
73003,political,119,Claim Only,-2.361483573913574,9.650185585021973
73003,political,119,Assumption Context,-2.538893222808838,9.888277053833008
73003,political,127,Claim Only,-0.12521453201770782,8.991986274719238
73003,political,127,Assumption Context,-0.18152791261672974,8.861197471618652
73003,political,136,Claim Only,-0.7256103754043579,9.687056541442871
73003,political,136,Assumption Context,-0.6242883801460266,9.572086334228516
73003,political,143,Claim Only,-0.5059700608253479,9.353086471557617
73003,political,143,Assumption Context,-0.4740585386753082,9.112940788269043
73003,political,150,Claim Only,-1.045261025428772,10.472064018249512
73003,political,150,Assumption Context,-1.9940941333770752,10.072271347045898
73003,political,161,Claim Only,-0.6834591627120972,8.278209686279297
73003,political,161,Assumption Context,-0.6325631141662598,8.301207542419434
73003,political,169,Claim Only,-1.6476713418960571,9.890979766845703
73003,political,169,Assumption Context,-2.051616907119751,9.999421119689941
73003,political,177,Claim Only,-2.5111029148101807,9.568835258483887
73003,political,177,Assumption Context,-1.8982821702957153,8.942389488220215
73003,political,189,Claim Only,-1.9370617866516113,8.081539154052734
73003,political,189,Assumption Context,-1.7978407144546509,8.20216178894043
73003,political,198,Claim Only,-2.100147008895874,8.328988075256348
73003,political,198,Assumption Context,-2.086211919784546,8.618362426757812
73003,political,206,Claim Only,-0.2553962767124176,9.941475868225098
73003,political,206,Assumption Context,-0.17143529653549194,9.976815223693848
73003,political,217,Claim Only,-1.660746455192566,8.673830032348633
73003,political,217,Assumption Context,-1.7891134023666382,8.559616088867188
73003,political,225,Claim Only,0.865199625492096,7.708797931671143
73003,political,225,Assumption Context,0.8223955035209656,7.708813190460205
73003,political,232,Claim Only,-2.257659435272217,8.671932220458984
73003,political,232,Assumption Context,-1.9506807327270508,8.830307006835938
73003,political,242,Claim Only,-1.724252700805664,8.813262939453125
73003,political,242,Assumption Context,-1.7555487155914307,9.019108772277832
73003,political,250,Claim Only,-2.109182834625244,8.42315673828125
73003,political,250,Assumption Context,-2.0777244567871094,8.379953384399414
73003,political,258,Claim Only,-1.5780444145202637,10.81457233428955
73003,political,258,Assumption Context,-1.3552863597869873,10.933090209960938
Adam_Knorr_-_Ebrei_2_10-18,religion,2,Claim Only,-0.9639636874198914,13.28316879272461
Adam_Knorr_-_Ebrei_2_10-18,religion,2,Assumption Context,-1.5438824892044067,13.55335521697998
Adam_Knorr_-_Ebrei_2_10-18,religion,16,Claim Only,-2.187208414077759,14.523704528808594
Adam_Knorr_-_Ebrei_2_10-18,religion,16,Assumption Context,-2.1562111377716064,14.471546173095703
Adam_Knorr_-_Ebrei_2_10-18,religion,42,Claim Only,-0.6894645094871521,12.997488975524902
Adam_Knorr_-_Ebrei_2_10-18,religion,42,Assumption Context,-0.5894262790679932,12.73281192779541
Adam_Knorr_-_Ebrei_2_10-18,religion,56,Claim Only,-0.6616993546485901,12.618824005126953
Adam_Knorr_-_Ebrei_2_10-18,religion,56,Assumption Context,-0.8248205184936523,12.922069549560547
Adam_Knorr_-_Ebrei_2_10-18,religion,78,Claim Only,-1.2516623735427856,13.197229385375977
Adam_Knorr_-_Ebrei_2_10-18,religion,78,Assumption Context,-1.420196533203125,13.089111328125
Adam_Knorr_-_Ebrei_2_10-18,religion,96,Claim Only,0.5777760148048401,9.93808364868164
