episode,speaker_id,n_rows,n_testable,n_missing,min_p,min_q_global,min_q_episode,mean_p,median_p,n_sig_raw,n_sig_fdr_global,n_sig_fdr_episode,sig_raw_rate,sig_fdr_global_rate,sig_fdr_episode_rate
85779,SPEAKER_01,31,16,15,0.007068819199382964,0.42771478489020104,0.22530623523827215,0.3401573466910174,0.24592085834365404,3,0,0,0.1875,0.0,0.0
43154,SPEAKER_01,31,6,25,0.0078325901677947,0.43830179334983316,0.08084912661395703,0.2358894922739071,0.20511769496064047,2,0,0,0.3333333333333333,0.0,0.0
45324,SPEAKER_00,31,16,15,0.01035601624532768,0.49332131720085687,0.16569625992524287,0.4448066458253277,0.40568730877105275,2,0,0,0.125,0.0,0.0
45362,SPEAKER_00,31,19,12,0.001475982599268895,0.17252474580540977,0.056087338772218005,0.41941295646468363,0.3256845303509043,2,0,0,0.10526315789473684,0.0,0.0
46427,SPEAKER_01,31,16,15,0.011903245703189028,0.5123304207300432,0.3171957867575753,0.6526473987412296,0.8230571687258037,2,0,0,0.125,0.0,0.0
46727,SPEAKER_00,31,11,20,0.004356199079972971,0.33095513588761705,0.09583637975940536,0.4384894909681218,0.44152092830087003,2,0,0,0.18181818181818182,0.0,0.0
46727,SPEAKER_02,31,11,20,0.020519877767243493,0.6276453295697431,0.12250200346497826,0.3092386974942866,0.31423927876645646,2,0,0,0.18181818181818182,0.0,0.0
49220,SPEAKER_01,31,16,15,0.0006918591156375878,0.11439141083182951,0.02213949170040281,0.6449689771601781,0.7483557900459947,2,0,1,0.125,0.0,0.0625
49225,SPEAKER_00,31,6,25,0.0007856173129619239,0.11525821176503628,0.009427407755543087,0.19618245007298954,0.1118019711678093,2,0,1,0.3333333333333333,0.0,0.16666666666666666
49226,SPEAKER_01,31,12,19,0.0033234023999896326,0.28906677124909824,0.052319779425402474,0.35864401777002586,0.3361228057318387,2,0,0,0.16666666666666666,0.0,0.0
49233,SPEAKER_00,31,17,14,0.022550131601308133,0.6276453295697431,0.3567686072727465,0.4661748780490322,0.37267750923809173,2,0,0,0.11764705882352941,0.0,0.0
49234,SPEAKER_00,31,16,15,0.0004663899337961088,0.11439141083182951,0.014924477881475481,0.38753113959640034,0.35894468973237975,2,0,1,0.125,0.0,0.0625
49235,SPEAKER_01,31,4,27,0.00772639013000128,0.43830179334983316,0.03368855318847248,0.39108889527771135,0.37533183742880105,2,0,2,0.5,0.0,0.5
49455,SPEAKER_01,31,4,27,0.00037671392905067324,0.10485204358577072,0.003013711432405386,0.4390040647957095,0.4237097848794214,2,0,2,0.5,0.0,0.5
