episode,speaker_id,offset,granger_p_value,q_global,q_episode,sig_raw,sig_fdr_global,sig_fdr_episode
43159,SPEAKER_00,11,,,,0,0,0
43159,SPEAKER_01,11,,,,0,0,0
43159,SPEAKER_00,12,,,,0,0,0
43159,SPEAKER_01,12,,,,0,0,0
43159,SPEAKER_00,13,,,,0,0,0
43159,SPEAKER_01,13,,,,0,0,0
43159,SPEAKER_00,14,,,,0,0,0
43159,SPEAKER_01,14,,,,0,0,0
43159,SPEAKER_00,15,,,,0,0,0
43159,SPEAKER_01,15,,,,0,0,0
43235,SPEAKER_00,-15,,,,0,0,0
43235,SPEAKER_01,-15,,,,0,0,0
43235,SPEAKER_00,-14,,,,0,0,0
43235,SPEAKER_01,-14,,,,0,0,0
